phi : 89.033895  x : 7.569123  y : 0.229104  deg : 105.499712
phi : 89.420477  x : 7.668243  y : 0.232298  deg : 85.750041
phi : 89.211948  x : 7.624399  y : 0.223367  deg : 97.260333
phi : 89.128990  x : 7.652245  y : 0.217179  deg : 94.264500
phi : 19.898048  x : 7.758890  y : 0.219413  deg : 17.447387
phi : 20.280273  x : 7.556093  y : 0.190357  deg : 115.289246
phi : 20.377872  x : 7.571533  y : 0.180669  deg : 115.386640
phi : 19.746024  x : 7.723751  y : 0.174973  deg : 90.650312
phi : 19.017759  x : 7.739266  y : 0.165827  deg : 91.043567
phi : 19.427586  x : 7.767444  y : 0.152322  deg : 89.775625
phi : 18.967077  x : 7.780078  y : 0.142402  deg : 91.826584
phi : 20.159164  x : 7.806866  y : 0.126729  deg : 91.478290
phi : 17.168077  x : 7.805468  y : 0.115036  deg : 99.152030
phi : 89.210303  x : 6.653249  y : 0.025921  deg : -1.102634
phi : 89.251034  x : 6.840193  y : 0.021178  deg : -1.046100
phi : 89.263447  x : 6.853157  y : 0.018956  deg : -0.946924
phi : 89.236491  x : 6.924126  y : 0.016493  deg : -0.878241
phi : 89.217920  x : 6.939102  y : 0.014698  deg : -0.793726
phi : 89.234398  x : 6.906092  y : 0.014210  deg : -0.744246
phi : 40.732614  x : 6.981072  y : 0.012095  deg : -0.680086
phi : -18.334566  x : 7.189047  y : 0.008754  deg : -0.618459
phi : 84.284834  x : 7.205040  y : 0.007992  deg : -0.576007
phi : 84.291982  x : 7.378025  y : 0.005564  deg : -0.512528
phi : 84.252061  x : 7.916781  y : 0.047861  deg : 105.846027
phi : 23.252671  x : 7.911056  y : 0.045705  deg : 114.303396
phi : 22.398473  x : 7.821522  y : 0.040432  deg : 148.985841
phi : 21.847306  x : 7.818033  y : 0.003483  deg : 162.653493
phi : 23.570819  x : 7.567008  y : 0.002681  deg : -0.354795
phi : 24.182094  x : 7.423009  y : 0.003308  deg : -0.328476
phi : 89.475609  x : 6.932018  y : 0.006204  deg : -0.332827
phi : 37.700399  x : 7.945299  y : 0.005725  deg : 126.525189
phi : 25.796549  x : 7.949373  y : 0.006156  deg : 126.817677
phi : 28.498224  x : 7.944172  y : 0.004379  deg : 132.764624
phi : 28.477006  x : 7.947210  y : 0.004710  deg : 127.151900
phi : 27.786557  x : 7.945226  y : 0.004978  deg : 132.056628
phi : 28.435705  x : 7.943216  y : 0.004953  deg : 132.514849
phi : 27.581884  x : 7.943261  y : 0.005447  deg : 130.766159
phi : 27.373306  x : 7.943136  y : 0.003933  deg : 146.043399
phi : 26.345620  x : 7.946169  y : 0.004267  deg : 136.468230
phi : 28.396746  x : 7.943187  y : 0.004615  deg : 136.606281
phi : 27.936258  x : 7.945293  y : 0.005669  deg : 130.583378
phi : 27.216983  x : 7.942292  y : 0.005815  deg : 134.745752
phi : 26.160812  x : 7.944263  y : 0.005420  deg : 136.945469
phi : -40.966220  x : 7.940296  y : 0.005949  deg : 133.309951
phi : 73.159507  x : 7.946313  y : 0.005805  deg : 129.828872
phi : 54.235586  x : 7.947334  y : 0.005942  deg : 128.812787
phi : 67.337659  x : 7.944298  y : 0.005770  deg : 132.585894
phi : 59.193516  x : 7.947318  y : 0.005798  deg : 128.219571
phi : 62.742912  x : 7.945313  y : 0.005862  deg : 129.631363
phi : 59.595359  x : 7.946327  y : 0.005938  deg : 129.187270
phi : 58.648707  x : 7.948347  y : 0.006000  deg : 125.874232
phi : 57.253552  x : 7.948309  y : 0.005664  deg : 128.496668
phi : 56.294874  x : 7.948356  y : 0.006071  deg : 125.044967
phi : 57.911436  x : 7.947301  y : 0.005638  deg : 128.143848
phi : 57.757691  x : 7.947310  y : 0.005720  deg : 131.054036
phi : 60.956686  x : 7.946324  y : 0.005910  deg : 131.216641
phi : 60.927330  x : 7.942359  y : 0.006444  deg : 132.371284
phi : 53.024588  x : 7.949384  y : 0.006245  deg : 124.216139
phi : 52.064601  x : 7.942343  y : 0.006296  deg : 134.018565
phi : 59.816964  x : 7.943523  y : 0.007703  deg : 129.982953
phi : 61.068278  x : 7.946722  y : 0.008798  deg : 116.123293
phi : 62.528455  x : 7.948169  y : 0.004194  deg : 131.374203
phi : 60.875761  x : 7.947202  y : 0.004618  deg : 131.750845
phi : 26.488165  x : 7.945187  y : 0.004536  deg : 132.519424
phi : -80.675393  x : 7.946208  y : 0.004738  deg : 129.965985
phi : -67.078402  x : 7.946197  y : 0.004607  deg : 132.605910
phi : -15.740460  x : 7.944175  y : 0.004428  deg : 132.964691
phi : 6.851041  x : 7.944156  y : 0.004180  deg : 136.219383
phi : -43.555043  x : 7.943166  y : 0.004351  deg : 136.871664
phi : -70.326341  x : 7.944190  y : 0.004606  deg : 135.281995
phi : -8.632298  x : 7.943710  y : 0.008968  deg : 129.697675
phi : -7.115907  x : 7.952859  y : 0.035478  deg : 94.785345
phi : -8.962714  x : 6.404042  y : 0.011586  deg : -0.415926
phi : 18.094458  x : 6.592046  y : 0.011414  deg : -0.464461
phi : 27.304647  x : 6.268113  y : 0.019808  deg : -0.655269
phi : 28.936344  x : 5.508269  y : 0.036644  deg : -0.092538
phi : 30.669159  x : 7.784143  y : 0.042495  deg : 130.362901
phi : 31.880871  x : 7.781176  y : 0.042956  deg : 126.393829
phi : 33.741938  x : 7.737014  y : 0.039929  deg : 131.616797
phi : -54.669418  x : 8.000000  y : 0.000000  deg : -nan
phi : 89.184105  x : -1.649000  y : 0.000000  deg : 0.000000
phi : 88.703340  x : 8.000000  y : 0.000000  deg : -nan
phi : 42.977551  x : -1.511000  y : 0.000000  deg : 0.000000
phi : 45.787173  x : 7.289279  y : 0.042663  deg : 160.814752
phi : -46.460848  x : 7.246262  y : 0.043632  deg : 161.187014
phi : -44.158764  x : 7.254597  y : 0.048813  deg : 159.253333
phi : -46.792887  x : 7.140279  y : 0.046915  deg : 163.126435
phi : -44.008786  x : 7.140484  y : 0.050526  deg : 162.135790
phi : -43.736396  x : 7.146528  y : 0.051101  deg : 161.823515
phi : -40.062028  x : 7.085425  y : 0.051070  deg : 164.053892
phi : -40.138352  x : 7.171451  y : 0.063777  deg : 158.598360
phi : 34.796709  x : 7.230989  y : 0.087735  deg : 152.241391
phi : 34.389156  x : 7.166882  y : 0.090323  deg : 157.062422
phi : 31.178010  x : 8.000000  y : 0.000000  deg : -nan
phi : 88.331157  x : 6.632000  y : 0.000000  deg : 167.750000
phi : 88.632898  x : 7.543966  y : 0.052096  deg : 116.982934
phi : 89.058590  x : 7.568837  y : 0.057647  deg : 106.634633
phi : 89.342481  x : 7.543194  y : 0.054117  deg : 114.243798
phi : 50.202892  x : 7.443231  y : 0.037038  deg : 132.944095
phi : 84.430994  x : 7.449336  y : 0.038376  deg : 131.263498
phi : 84.431940  x : 7.507772  y : 0.287423  deg : 104.968385
phi : 84.429876  x : 7.636931  y : 0.300037  deg : 73.430014
phi : 84.425641  x : 7.508969  y : 0.306805  deg : 99.752163
phi : 42.509024  x : 4.591485  y : 0.210355  deg : 168.218498
phi : -7.629396  x : 7.472322  y : 0.336797  deg : 98.451482
phi : -5.684311  x : 7.491479  y : 0.050278  deg : 99.103507
phi : 7.616493  x : 7.340609  y : 0.058720  deg : 124.661083
phi : 3.529136  x : 7.457217  y : 0.253354  deg : 86.978343
phi : -11.542667  x : 7.565896  y : 0.370938  deg : 66.236394
phi : 0.509467  x : 7.550565  y : 0.409478  deg : 58.413530
phi : 84.346607  x : 7.117947  y : 0.371256  deg : 112.923759
phi : 84.372529  x : 7.032522  y : 0.394982  deg : 113.041783
phi : 84.350621  x : 6.447910  y : 0.571605  deg : -6.467801
phi : -88.998640  x : 6.936504  y : 0.426957  deg : 113.376260
phi : 33.665828  x : 6.841780  y : 0.434391  deg : 116.441428
phi : 50.333346  x : 7.637123  y : 0.892014  deg : 53.386776
phi : 49.291735  x : 7.486443  y : 0.588405  deg : 17.614334
