phi : 84.963365  x : 3.854000  y : 0.000000  deg : 175.750000
phi : 33.494995  x : 4.670000  y : 0.000000  deg : 174.000000
phi : 33.617583  x : 4.799022  y : 0.011767  deg : 177.289377
phi : -22.103381  x : 7.605385  y : 0.017441  deg : 172.469266
phi : -15.039817  x : 7.541000  y : 0.000000  deg : nan
phi : 4.365917  x : 7.617000  y : 0.000000  deg : 180.000000
phi : 10.287739  x : 3.467321  y : 0.053953  deg : 14.568040
phi : 81.334450  x : 7.598000  y : 0.000000  deg : nan
phi : 55.851082  x : 3.720352  y : 0.054881  deg : 14.515289
phi : 84.535364  x : 3.991313  y : 0.050064  deg : 14.284471
phi : 2.500000  x : 7.629426  y : 0.017769  deg : 116.004813
phi : -18.314075  x : 7.617283  y : 0.014728  deg : 136.046167
phi : 84.334547  x : 7.730891  y : 0.021921  deg : 119.593112
phi : 22.966582  x : 6.318000  y : 0.000000  deg : 180.000000
phi : 26.838407  x : 6.649000  y : 0.000000  deg : 180.000000
phi : 30.824171  x : 7.563204  y : 0.013363  deg : 166.747733
phi : 37.874085  x : 7.741299  y : 0.012440  deg : 158.746910
phi : 36.601253  x : 7.835214  y : 0.008393  deg : 151.834201
phi : 28.968292  x : 0.506181  y : 0.052017  deg : 0.602297
phi : 29.464047  x : 0.510135  y : 0.045033  deg : 0.905509
phi : 17.421537  x : 7.937036  y : 0.002119  deg : 131.572250
phi : 16.444969  x : 7.920019  y : 0.001761  deg : 145.988804
phi : 11.970621  x : 7.915015  y : 0.001611  deg : 150.913898
phi : 4.968470  x : 0.510076  y : 0.033673  deg : 2.742413
phi : 11.574602  x : 0.500053  y : 0.028199  deg : 2.034573
phi : 19.464754  x : 0.491043  y : 0.025416  deg : 0.306071
phi : 19.807862  x : 0.505044  y : 0.025698  deg : 0.553551
phi : 5.976600  x : 0.508038  y : 0.023972  deg : 0.566672
phi : 3.079497  x : 0.514037  y : 0.023394  deg : -0.179050
phi : 10.208714  x : 0.509025  y : 0.019394  deg : -0.148339
phi : 27.341704  x : 7.942006  y : 0.000831  deg : 154.679376
phi : 31.177306  x : 7.941006  y : 0.000864  deg : 153.660685
phi : -3.354116  x : 0.521024  y : 0.019109  deg : -0.146389
phi : 7.820034  x : 7.932005  y : 0.000801  deg : 158.074660
phi : 49.971522  x : 7.940007  y : 0.000893  deg : 153.897395
phi : 49.057614  x : 7.943074  y : 0.002894  deg : 151.589549
phi : 42.341347  x : 7.933006  y : 0.000866  deg : 156.759797
phi : -7.015187  x : 7.929007  y : 0.000977  deg : 155.461322
phi : 19.089672  x : 7.953006  y : 0.000731  deg : 152.858246
phi : 33.607733  x : 7.943006  y : 0.000814  deg : 154.681826
phi : -3.846380  x : 7.938006  y : 0.000853  deg : 155.461322
phi : 10.389060  x : 7.939006  y : 0.000858  deg : 155.194302
phi : 8.427511  x : 7.955008  y : 0.000838  deg : 147.932437
phi : 1.551858  x : 0.523020  y : 0.017437  deg : -0.133616
phi : 8.077564  x : 7.945007  y : 0.000888  deg : 152.075212
phi : 3.896144  x : 7.939006  y : 0.000853  deg : 155.199084
phi : 0.203046  x : 7.937005  y : 0.000815  deg : 156.508567
phi : -1.153620  x : 7.941007  y : 0.000907  deg : 152.618863
phi : -1.151891  x : 0.513026  y : 0.019879  deg : -0.152127
phi : 17.488408  x : 7.939006  y : 0.000824  deg : 155.975849
phi : 26.714578  x : 7.945007  y : 0.000852  deg : 153.112758
phi : 25.716739  x : 7.955008  y : 0.000863  deg : 146.901374
phi : 30.935898  x : 7.927006  y : 0.000904  deg : 157.790130
phi : 32.397540  x : 7.930007  y : 0.001002  deg : 155.429957
phi : 30.197836  x : 7.945008  y : 0.000939  deg : 154.771764
phi : 22.950092  x : 7.939022  y : 0.001620  deg : 154.228462
phi : 27.990622  x : 7.942081  y : 0.003071  deg : 151.714893
phi : 21.835563  x : 7.942093  y : 0.003289  deg : 149.998874
phi : 16.299654  x : 7.949085  y : 0.002945  deg : 149.439364
phi : 7.901517  x : 0.516019  y : 0.016681  deg : -0.127707
phi : 11.870498  x : 7.931079  y : 0.003296  deg : 154.262118
phi : -0.981307  x : 7.940065  y : 0.002800  deg : 155.075124
phi : 6.245576  x : 0.522029  y : 0.020851  deg : -0.159755
phi : 25.322248  x : 7.922073  y : 0.003371  deg : 157.272826
phi : 20.209184  x : 7.945080  y : 0.002960  deg : 151.415201
phi : 10.715548  x : 7.955088  y : 0.002811  deg : 146.668903
phi : 9.044433  x : 7.956088  y : 0.002783  deg : 145.873508
phi : 5.594470  x : 7.936079  y : 0.003186  deg : 153.146958
phi : 0.366183  x : 7.942080  y : 0.003048  deg : 150.987734
phi : 4.243541  x : 7.945089  y : 0.003126  deg : 147.741326
phi : 15.827279  x : 7.933058  y : 0.002786  deg : 156.866673
phi : 39.307646  x : 7.946071  y : 0.002764  deg : 151.566492
phi : 44.733972  x : 7.942073  y : 0.002900  deg : 152.883728
phi : 39.208482  x : 0.522029  y : 0.020852  deg : -0.159764
phi : 35.741634  x : 0.518020  y : 0.017381  deg : -0.133104
phi : 28.441860  x : 7.948085  y : 0.002975  deg : 148.970181
phi : 10.222365  x : 7.949089  y : 0.003017  deg : 147.108839
phi : 7.912050  x : 7.944078  y : 0.002949  deg : 150.981446
phi : 25.140450  x : 7.945077  y : 0.002909  deg : 151.217999
phi : 35.570503  x : 7.944084  y : 0.003074  deg : 149.603589
phi : 32.468866  x : 7.947085  y : 0.002992  deg : 149.013602
phi : 34.687057  x : 0.534034  y : 0.022565  deg : -0.173166
phi : 34.657715  x : 0.526020  y : 0.017443  deg : -0.133720
phi : 35.630461  x : 7.946074  y : 0.002830  deg : 151.246041
phi : 38.649007  x : 0.514032  y : 0.021789  deg : -0.166766
phi : 31.088017  x : 7.940074  y : 0.002983  deg : 153.149875
phi : 34.992238  x : 7.946078  y : 0.002897  deg : 150.424302
phi : 29.917169  x : 0.519021  y : 0.017539  deg : -0.134328
phi : 22.621692  x : 7.943076  y : 0.002948  deg : 151.535618
